Sqft_Living,Bedrooms,Bathrooms,Floors,Pincode,Sale_Price (₹),Year_Sold,Month_Sold,Quarter_Sold,Age_of_Property,YoY_Price_Change (%),Demand_Index,Event_Occurred,Inflation_Rate (%),GDP_Growth (%),Season,Years_Since_Event,Development_Project_Proximity
1360,2,1,1,620001,12357832,2016,8,3,11,7.43,80,No,4.34,6.36,Monsoon,5,1.1
1794,4,1,1,627001,14156157,2012,1,1,12,4.37,95,Yes,3.78,6.2,Winter,2,1.9
1630,1,3,1,641001,7261725,2016,7,3,31,3.69,80,No,4.2,7.51,Monsoon,2,4.3
1595,2,1,1,627001,11625044,2018,12,4,23,3.6,77,Yes,4.03,7.78,Winter,2,2.2
2138,2,2,2,600001,8545636,2020,6,2,30,6.5,91,No,3.84,7.43,Monsoon,3,3.9
2669,5,1,2,641001,8780618,2019,11,4,30,3.03,72,No,3.56,7.61,Festival,8,1.3
966,3,3,2,641001,8252371,2021,5,2,27,5.36,97,No,5.84,7.98,Summer,3,2.4
1738,2,3,1,620001,5214178,2020,7,3,34,3.59,88,No,5.8,6.27,Monsoon,3,1.0
830,3,2,1,636001,3074804,2013,3,1,11,7.25,81,Yes,3.63,7.93,Summer,3,1.1
1982,4,3,1,627001,5976877,2016,1,1,35,7.79,75,Yes,3.93,7.2,Winter,6,3.3
2635,1,2,2,641001,6789514,2018,9,3,27,7.79,97,Yes,3.85,7.63,Festival,4,3.2
630,5,1,1,641001,7957107,2023,2,1,25,5.21,92,No,4.2,7.3,Winter,1,1.5
2185,3,1,1,620001,4972871,2017,10,4,26,6.22,77,Yes,4.01,7.14,Festival,6,2.6
1269,2,2,2,620001,4940483,2017,3,1,22,6.0,74,No,5.86,7.41,Summer,2,4.4
2891,3,2,1,636001,5911898,2018,8,3,33,4.75,79,Yes,3.71,6.64,Monsoon,0,1.3
2015,2,3,2,627001,11875943,2023,12,4,41,5.22,91,Yes,4.03,7.85,Winter,8,0.6
2933,3,1,2,600001,8227365,2014,10,4,33,3.32,85,No,3.7,6.23,Festival,4,3.4
1715,2,2,1,636001,10689262,2023,9,3,24,6.98,81,No,5.95,6.64,Festival,9,0.7
1455,4,1,2,600001,6509163,2014,3,1,30,4.2,86,No,5.8,6.06,Summer,0,4.9
2824,2,2,1,625001,14776559,2012,6,2,22,5.3,75,Yes,5.29,6.54,Monsoon,0,3.2
1684,2,1,2,641001,9825711,2014,7,3,9,5.4,78,No,4.56,6.44,Monsoon,0,2.6
959,1,3,1,627001,4261402,2017,1,1,13,5.8,79,Yes,3.98,6.1,Winter,8,2.4
521,2,1,2,636001,12755459,2021,7,3,39,7.09,89,Yes,4.05,6.98,Monsoon,7,3.1
2800,1,1,1,641001,13967690,2014,4,2,32,6.46,83,Yes,4.61,6.94,Summer,5,0.9
1247,5,1,2,627001,5126028,2013,5,2,12,6.32,83,No,5.42,6.16,Summer,9,4.7
974,1,1,2,627001,5985032,2017,8,3,33,5.63,95,Yes,4.16,6.52,Monsoon,5,3.3
1582,4,1,2,627001,6077195,2016,4,2,15,3.48,98,No,4.28,7.91,Summer,5,1.3
2547,1,3,1,641001,5326344,2023,4,2,21,5.01,86,No,5.0,6.22,Summer,3,3.0
1475,5,2,1,636001,14845708,2023,8,3,33,7.79,99,Yes,4.09,6.61,Monsoon,4,1.1
2306,4,1,2,620001,9103807,2015,5,2,33,7.98,96,Yes,4.96,6.07,Summer,9,0.6
689,3,3,1,641001,13738073,2014,6,2,22,6.65,94,Yes,4.47,6.3,Monsoon,2,3.3
1062,3,1,2,627001,4076837,2023,12,4,23,4.14,85,Yes,3.59,7.4,Winter,2,3.4
2399,1,1,1,636001,10446633,2014,11,4,27,3.51,73,No,4.51,6.73,Festival,9,3.1
1767,1,2,2,625001,8717467,2022,5,2,23,5.07,71,No,5.8,6.9,Summer,6,1.3
2028,5,1,1,600001,14488057,2019,1,1,30,7.28,85,No,4.23,6.31,Winter,4,3.2
1146,5,3,2,627001,14499607,2011,7,3,30,6.61,70,No,4.31,7.36,Monsoon,7,0.8
2568,2,3,2,625001,12926354,2022,6,2,39,7.42,72,No,3.66,7.5,Monsoon,4,3.2
2714,5,2,2,620001,4629040,2013,2,1,16,6.08,92,No,5.04,6.36,Winter,3,3.0
1797,2,1,2,627001,13800204,2017,11,4,19,3.65,80,No,5.62,6.09,Festival,2,3.4
2935,4,3,1,625001,13628172,2017,7,3,34,3.57,85,No,4.38,6.16,Monsoon,1,4.5
1100,1,1,2,627001,6663289,2020,6,2,21,3.24,95,No,4.1,7.31,Monsoon,2,4.3
2863,4,1,1,641001,5916596,2010,5,2,5,5.84,87,Yes,5.89,6.27,Summer,6,4.9
2561,5,1,1,636001,10966473,2011,8,3,23,4.21,84,Yes,5.36,6.99,Monsoon,7,4.9
741,4,2,2,625001,9185941,2014,5,2,19,6.67,78,No,4.92,6.31,Summer,4,4.0
2541,4,1,1,636001,7127436,2018,11,4,13,6.43,81,No,4.26,6.34,Festival,0,4.8
1863,4,3,1,641001,13854541,2019,2,1,34,4.59,98,Yes,4.05,6.01,Winter,2,4.4
2639,5,1,1,641001,7866940,2020,6,2,16,3.88,96,Yes,5.29,6.64,Monsoon,3,3.8
1890,4,3,2,636001,6462511,2021,12,4,38,3.51,87,Yes,4.8,6.18,Winter,9,0.8
1978,2,1,1,625001,3384083,2022,1,1,34,6.69,74,No,4.8,6.79,Winter,3,0.7
1275,5,3,1,636001,11920206,2020,5,2,14,5.25,93,Yes,3.68,7.2,Summer,0,4.3
534,4,3,2,636001,8607968,2016,6,2,24,4.62,98,Yes,4.78,6.74,Monsoon,9,2.7
2753,5,1,2,600001,9769552,2019,7,3,31,7.28,98,Yes,5.56,7.41,Monsoon,8,4.2
2455,3,1,1,625001,13667453,2014,2,1,29,5.97,97,Yes,5.87,7.48,Winter,9,1.9
2085,2,3,2,600001,12054860,2010,1,1,10,5.59,95,Yes,3.77,7.39,Winter,3,2.3
1521,4,2,1,627001,6050798,2015,6,2,17,6.72,77,No,5.08,7.87,Monsoon,1,3.7
1629,3,1,1,636001,5536047,2021,3,1,28,7.08,72,Yes,4.92,6.47,Summer,8,4.6
2000,3,2,1,627001,9464143,2017,5,2,17,6.43,71,No,5.73,6.38,Summer,3,0.9
1202,5,1,2,625001,14712961,2016,12,4,22,5.2,94,Yes,5.38,7.22,Winter,3,4.4
2949,3,1,1,636001,6254992,2011,11,4,29,4.9,88,Yes,5.91,7.19,Festival,5,4.1
2079,2,1,2,627001,7797663,2021,2,1,37,6.86,77,Yes,5.9,7.02,Winter,7,1.9
661,2,1,2,620001,12084970,2014,1,1,14,5.59,71,Yes,4.06,6.01,Winter,4,2.1
701,1,2,1,641001,9269191,2023,1,1,26,6.52,88,Yes,5.31,7.11,Winter,7,0.7
2481,2,1,2,636001,6535443,2020,11,4,27,7.45,70,No,4.83,7.87,Festival,0,0.6
1495,3,3,2,641001,4932303,2013,4,2,18,7.58,99,No,4.04,6.67,Summer,3,2.6
2817,2,3,2,600001,5751821,2018,10,4,25,4.39,96,No,3.99,7.94,Festival,0,0.9
1315,5,2,2,627001,10314895,2019,2,1,31,3.94,91,No,3.7,6.71,Winter,2,1.4
955,1,1,2,600001,9525940,2010,1,1,16,4.31,82,No,5.49,6.28,Winter,6,4.3
1775,3,3,1,636001,3426941,2021,6,2,35,6.76,92,No,4.31,6.8,Monsoon,0,3.1
1516,1,2,2,641001,7850224,2015,4,2,22,4.85,89,No,5.64,6.99,Summer,4,3.4
2843,3,1,1,641001,3386354,2012,10,4,27,3.87,86,Yes,5.02,7.26,Festival,0,1.3
837,5,3,1,627001,14328757,2020,12,4,20,3.49,72,No,5.18,7.01,Winter,5,4.2
1378,1,3,1,636001,8506336,2018,7,3,24,4.64,78,Yes,4.23,7.07,Monsoon,8,4.4
1576,4,2,1,620001,3935709,2014,11,4,15,3.68,74,Yes,4.64,6.05,Festival,2,2.9
1291,3,1,1,620001,5485178,2022,6,2,35,3.78,75,No,4.53,6.51,Monsoon,5,4.6
2764,4,1,1,627001,9379022,2015,5,2,34,6.42,73,Yes,4.09,6.62,Summer,3,4.3
1263,1,3,2,636001,8477630,2020,10,4,33,3.1,86,Yes,5.58,7.97,Festival,5,3.8
2735,4,3,2,627001,9288893,2018,12,4,38,3.59,99,No,5.06,6.59,Winter,1,3.8
879,4,3,2,636001,14642573,2018,12,4,13,7.22,90,Yes,3.59,7.79,Winter,3,1.0
992,1,1,1,600001,5085469,2017,12,4,21,7.22,90,No,5.55,6.61,Winter,6,1.7
1680,5,2,2,627001,14910956,2018,12,4,20,4.65,90,Yes,3.77,6.19,Winter,5,0.8
2562,4,2,2,636001,4346365,2013,2,1,29,3.44,85,No,4.51,6.5,Winter,8,0.5
564,4,1,2,620001,4136078,2015,5,2,6,6.52,85,Yes,4.93,6.55,Summer,6,1.2
1867,5,2,1,636001,11875206,2014,9,3,13,4.8,91,No,3.52,7.96,Festival,0,4.5
1652,4,3,2,636001,9062825,2014,9,3,15,3.23,80,Yes,5.13,7.35,Festival,5,1.6
2527,4,2,1,627001,3533037,2013,2,1,18,3.79,71,No,5.15,7.86,Winter,2,4.9
1995,4,2,2,600001,11973541,2011,7,3,25,3.69,86,Yes,5.13,7.67,Monsoon,7,3.2
1662,2,2,1,600001,11602541,2021,10,4,35,5.95,84,Yes,3.91,7.16,Festival,0,1.6
2022,5,3,1,600001,12390328,2015,4,2,18,7.49,87,No,4.14,7.35,Summer,9,2.7
891,4,1,1,600001,13536522,2018,3,1,21,6.97,98,Yes,4.12,7.25,Summer,1,1.5
2198,5,3,2,625001,14074270,2021,11,4,40,5.73,79,No,5.9,7.33,Festival,2,4.9
918,3,1,2,627001,3427709,2010,1,1,16,5.11,75,Yes,3.67,6.53,Winter,2,4.3
2836,3,1,1,641001,11644147,2023,3,1,30,6.09,90,Yes,4.57,6.82,Summer,6,0.6
878,4,1,2,627001,10352245,2016,11,4,19,5.22,85,No,5.68,7.19,Festival,7,4.8
2296,5,2,1,625001,4750866,2015,9,3,7,4.23,74,Yes,5.42,6.07,Festival,8,3.7
2778,5,2,1,600001,14693121,2012,9,3,24,6.4,81,No,5.56,6.97,Festival,6,0.9
2588,5,1,2,625001,6777173,2010,7,3,17,7.37,97,Yes,5.93,7.72,Monsoon,7,3.5
2682,2,1,2,620001,9233107,2022,3,1,38,4.86,75,Yes,4.47,6.98,Summer,5,3.4
700,3,2,2,620001,13190880,2013,3,1,23,7.21,83,Yes,4.27,7.1,Summer,1,1.5
2363,5,3,1,627001,8275463,2023,4,2,36,5.16,95,Yes,3.58,6.4,Summer,0,3.9
1279,5,1,1,627001,7847384,2018,7,3,34,5.01,92,No,3.88,7.59,Monsoon,2,0.9
1002,2,3,2,641001,9371400,2011,7,3,3,3.14,85,No,4.91,6.72,Monsoon,8,2.7
2954,2,2,1,641001,14556705,2012,12,4,22,6.48,94,Yes,3.89,7.91,Winter,6,0.5
2251,5,1,2,620001,13423638,2011,12,4,27,7.04,76,Yes,5.34,7.99,Winter,1,4.9
1304,1,3,1,600001,13339460,2023,2,1,27,6.32,71,No,3.59,7.83,Winter,0,3.9
2646,5,3,2,625001,8234748,2011,12,4,10,3.76,75,Yes,4.15,6.17,Winter,1,1.2
2395,5,3,2,641001,11400728,2019,5,2,36,3.52,78,No,5.24,6.67,Summer,2,2.0
2070,2,2,1,636001,3624135,2020,7,3,26,5.86,76,Yes,4.14,7.89,Monsoon,5,1.2
1460,2,2,2,641001,7817167,2020,7,3,22,5.01,71,Yes,5.32,7.61,Monsoon,8,3.9
1985,5,3,2,600001,10731445,2017,6,2,16,5.15,88,No,5.99,7.82,Monsoon,7,0.8
1528,5,3,1,600001,9830707,2012,10,4,31,7.84,77,Yes,5.49,7.15,Festival,9,4.3
1002,5,2,2,627001,9106428,2016,10,4,13,6.62,80,No,4.35,6.96,Festival,8,4.7
897,2,3,1,625001,13442510,2017,12,4,21,5.06,94,No,5.75,6.21,Winter,7,3.5
1370,5,3,2,600001,7745920,2012,8,3,21,3.1,73,No,3.63,7.68,Monsoon,6,1.5
892,5,2,1,641001,10162517,2011,3,1,7,3.17,85,No,5.31,7.49,Summer,5,2.1
706,4,3,2,641001,13609794,2022,1,1,19,6.42,94,No,3.56,6.12,Winter,7,2.6
1538,1,3,2,620001,8788773,2022,3,1,26,7.19,87,No,3.94,6.42,Summer,5,3.2
2381,3,3,2,600001,14710221,2017,11,4,28,6.54,82,Yes,5.97,7.11,Festival,1,3.5
1984,1,2,2,636001,10517475,2012,2,1,5,5.03,96,No,4.4,7.37,Winter,8,3.0
1363,4,3,1,627001,9923985,2016,2,1,12,3.16,74,No,5.55,6.28,Winter,8,2.1
1063,3,2,1,625001,12222638,2021,2,1,24,7.84,96,Yes,4.44,6.49,Winter,2,4.5
1520,5,2,1,636001,13740049,2010,5,2,12,7.93,71,No,5.6,6.39,Summer,8,0.9
595,4,1,1,627001,9101570,2023,1,1,26,5.75,80,Yes,5.91,6.44,Winter,1,2.6
2423,5,1,1,641001,14313161,2021,10,4,29,3.35,70,No,4.59,7.84,Festival,2,4.0
2257,2,3,1,636001,11032304,2015,4,2,22,5.7,82,No,4.9,7.43,Summer,5,0.8
2778,4,2,1,627001,5266598,2021,10,4,18,7.46,99,No,5.07,7.47,Festival,3,3.7
2178,2,1,2,641001,4776238,2021,5,2,26,6.4,74,Yes,5.84,7.59,Summer,7,4.2
1040,4,3,2,641001,11451392,2022,2,1,25,6.6,87,Yes,4.14,6.71,Winter,0,3.5
1559,4,1,2,641001,8127736,2018,5,2,13,3.42,83,No,5.03,7.53,Summer,5,0.6
1683,2,1,2,641001,8897162,2021,10,4,24,3.53,82,No,4.31,7.96,Festival,1,1.3
2222,3,2,1,641001,9508676,2012,4,2,17,3.64,76,Yes,4.04,7.4,Summer,5,2.0
2319,1,2,1,620001,7910662,2023,8,3,27,7.52,77,Yes,3.71,6.83,Monsoon,0,1.6
2097,5,1,1,636001,13848338,2016,1,1,30,5.63,87,Yes,5.05,7.43,Winter,1,4.8
1295,4,1,2,627001,4995127,2022,12,4,31,6.96,76,No,5.71,7.8,Winter,8,3.4
1551,5,2,1,620001,10776604,2015,5,2,34,3.58,89,Yes,4.38,6.26,Summer,5,1.8
2143,2,3,2,620001,13129678,2017,11,4,28,7.64,86,Yes,4.88,6.53,Festival,7,4.7
1863,5,2,1,600001,12897442,2012,12,4,28,7.11,85,Yes,5.11,7.84,Winter,6,3.8
2481,2,1,1,600001,4035108,2012,10,4,12,4.12,80,Yes,4.54,7.89,Festival,8,1.8
1854,5,3,1,600001,3478365,2013,1,1,31,7.37,88,Yes,5.76,6.97,Winter,8,2.2
2163,1,1,1,625001,8156371,2012,10,4,14,4.32,96,Yes,4.41,6.75,Festival,3,1.4
2029,1,3,2,600001,14302820,2018,10,4,26,4.03,97,Yes,3.81,6.57,Festival,6,4.9
2538,1,1,2,627001,5074242,2020,4,2,29,4.32,70,No,3.86,7.0,Summer,4,2.8
1996,1,3,1,620001,8232761,2013,8,3,31,7.55,90,Yes,5.73,7.87,Monsoon,6,4.5
2737,1,3,2,627001,14604008,2015,1,1,30,7.58,98,No,5.97,6.3,Winter,3,2.1
1908,1,1,1,636001,13007718,2017,11,4,24,4.64,77,No,4.22,6.84,Festival,9,4.4
1900,2,3,1,600001,8122969,2020,2,1,37,6.53,70,Yes,3.86,7.82,Winter,0,0.7
1806,4,2,1,625001,3494209,2022,1,1,30,6.38,99,No,4.71,6.7,Winter,3,4.9
1472,5,1,1,636001,12002006,2017,11,4,19,7.03,78,No,5.27,7.54,Festival,9,4.6
2268,1,2,2,625001,4534230,2014,7,3,17,4.48,88,Yes,5.03,6.78,Monsoon,2,2.1
1782,2,1,1,636001,9556410,2014,2,1,6,5.55,90,No,5.88,7.61,Winter,8,4.0
1209,2,3,1,620001,13152404,2015,1,1,33,6.34,78,Yes,5.54,7.96,Winter,4,3.9
1979,2,3,2,627001,8451151,2019,12,4,20,3.13,90,Yes,5.67,6.78,Winter,3,4.6
1934,4,3,1,641001,3851980,2016,6,2,31,4.88,94,Yes,4.85,7.69,Monsoon,7,1.9
1148,5,1,2,627001,4766299,2022,6,2,27,6.48,79,Yes,4.32,7.98,Monsoon,4,2.6
817,4,2,1,600001,7020018,2022,10,4,23,4.26,93,Yes,5.25,7.97,Festival,2,4.4
1757,3,2,1,641001,9691891,2019,2,1,16,7.79,92,Yes,4.6,6.87,Winter,1,4.0
1183,2,1,1,625001,9886608,2023,1,1,41,3.15,80,Yes,4.22,6.97,Winter,7,2.3
1163,3,1,1,620001,10458403,2016,10,4,25,7.79,70,No,3.88,6.61,Festival,1,4.3
2498,1,2,1,620001,4662656,2022,3,1,24,4.08,89,Yes,4.82,6.63,Summer,7,0.7
2131,1,2,1,625001,7894097,2013,10,4,15,3.24,94,No,4.99,6.98,Festival,4,4.0
1995,4,2,2,600001,13998974,2015,5,2,12,4.46,95,Yes,4.92,6.4,Summer,7,1.4
1636,5,2,1,625001,8309068,2016,6,2,33,6.93,77,Yes,3.79,7.42,Monsoon,4,1.8
2353,3,1,2,636001,12623207,2014,3,1,34,6.76,89,Yes,4.92,7.07,Summer,0,2.7
2020,5,1,2,600001,7956780,2014,9,3,33,4.04,81,No,3.92,7.8,Festival,1,2.5
2989,4,3,1,641001,11949454,2011,11,4,19,3.98,70,No,5.16,7.62,Festival,5,2.8
1063,1,2,2,625001,7323242,2016,5,2,7,6.21,79,No,4.57,6.64,Summer,2,3.0
1791,5,3,1,600001,12583915,2021,2,1,16,5.29,73,No,5.62,7.01,Winter,7,2.0
2136,5,1,2,641001,5871712,2015,10,4,7,6.96,84,No,5.45,7.5,Festival,4,1.3
1198,1,1,1,625001,9903538,2020,6,2,28,3.12,88,No,5.31,6.39,Monsoon,2,4.0
2660,3,3,2,620001,14366015,2010,12,4,1,6.05,75,Yes,5.25,6.06,Winter,9,2.3
501,1,2,2,625001,3855656,2013,8,3,32,6.65,96,Yes,4.9,7.7,Monsoon,6,2.8
1141,5,2,1,627001,9817123,2012,11,4,3,7.97,74,No,3.65,6.28,Festival,7,3.4
2767,3,2,2,625001,6566568,2021,6,2,23,6.39,74,No,5.14,7.78,Monsoon,3,4.6
2089,3,2,1,627001,7679020,2012,4,2,11,4.16,87,No,4.67,7.83,Summer,8,3.7
1354,1,3,1,641001,4792363,2016,6,2,13,3.54,97,No,4.67,6.92,Monsoon,5,0.7
2259,5,3,1,625001,3638922,2020,8,3,25,6.2,72,No,4.45,7.61,Monsoon,0,4.3
2932,4,1,1,641001,3777867,2021,8,3,30,5.62,96,Yes,5.82,6.73,Monsoon,4,5.0
2161,5,2,1,641001,6066461,2019,10,4,39,7.5,91,Yes,4.12,7.72,Festival,4,2.6
1653,2,2,2,600001,8756911,2013,2,1,25,6.63,71,Yes,4.29,7.65,Winter,6,4.9
1576,4,2,2,641001,13891492,2021,8,3,25,5.55,73,Yes,5.91,6.16,Monsoon,6,3.0
2207,3,3,2,641001,4702424,2017,6,2,28,5.02,87,Yes,5.53,7.17,Monsoon,5,2.6
2195,4,2,1,625001,14690251,2020,2,1,23,5.02,78,Yes,3.54,7.28,Winter,7,2.0
2233,3,3,2,625001,7175252,2018,1,1,20,4.13,88,Yes,5.77,6.0,Winter,1,3.5
1939,3,2,2,620001,4185560,2012,6,2,26,3.09,95,Yes,4.07,7.96,Monsoon,6,1.5
2794,4,2,2,600001,11016906,2014,7,3,10,5.87,79,No,5.26,6.81,Monsoon,9,1.0
1335,3,1,2,641001,9509887,2013,10,4,15,4.06,91,No,4.88,7.03,Festival,6,0.6
702,3,2,2,600001,13149576,2023,5,2,20,4.04,84,Yes,4.84,6.39,Summer,3,1.8
622,2,2,1,627001,12334909,2021,10,4,27,3.63,70,Yes,5.29,7.22,Festival,9,2.3
900,5,1,1,641001,3867838,2019,8,3,31,3.95,98,Yes,4.02,7.62,Monsoon,1,3.0
1266,5,3,2,600001,4057880,2015,11,4,26,3.16,80,No,3.9,7.17,Festival,3,1.8
793,2,3,1,620001,6087714,2020,12,4,18,6.37,83,No,5.13,7.58,Winter,3,4.9
2827,4,2,1,620001,6478192,2019,9,3,20,5.01,79,Yes,4.23,7.46,Festival,5,1.8
697,1,3,2,641001,12960461,2013,4,2,14,5.81,88,No,5.93,6.48,Summer,6,2.5
2430,1,2,2,627001,11856832,2017,7,3,34,6.18,93,Yes,4.63,6.87,Monsoon,2,1.0
2691,1,1,1,620001,14519184,2012,8,3,27,7.86,90,Yes,3.78,6.3,Monsoon,9,1.7
1108,2,1,2,620001,14628824,2020,6,2,37,3.34,85,Yes,5.21,6.08,Monsoon,0,0.7
1647,2,2,1,627001,12695674,2014,2,1,30,5.09,77,Yes,4.27,6.13,Winter,2,3.0
686,3,1,1,600001,8600068,2022,7,3,34,4.23,71,Yes,3.87,7.88,Monsoon,8,3.9
2294,1,1,2,620001,11151656,2010,9,3,19,5.38,92,No,4.56,7.97,Festival,0,1.4
1159,4,2,1,625001,3785890,2022,5,2,20,7.6,94,Yes,5.91,6.19,Summer,7,2.2
2455,4,2,1,636001,12310837,2015,2,1,28,6.62,76,Yes,4.53,6.67,Winter,1,0.6
2950,1,1,1,636001,14226717,2020,4,2,20,6.31,88,Yes,4.37,6.23,Summer,5,4.3
1869,1,3,2,620001,13992049,2014,3,1,30,5.21,76,Yes,4.61,7.67,Summer,2,4.0
2486,1,3,2,600001,7806799,2017,4,2,9,6.36,84,No,3.53,6.99,Summer,6,0.8
2034,2,2,2,600001,11053024,2018,10,4,28,3.16,77,Yes,3.83,7.24,Festival,1,2.1
646,2,2,2,641001,11586625,2017,7,3,15,5.93,83,Yes,5.62,7.08,Monsoon,3,4.8
2234,2,3,1,625001,6743757,2017,10,4,27,5.77,70,No,5.95,7.42,Festival,9,2.3
